,Importance
Current_A_roll_mean,0.4671537965968452
Vibration_mm_s,0.18359687640176947
Bearing_Noise_dB_roll_mean,0.08087401094438586
Temperature_C,0.07621915220373679
Load_Factor,0.06941845409784762
RPM_roll_mean,0.03750055158803332
Bearing_Noise_dB,0.03570476845116155
Temperature_C_roll_mean,0.02315149986454424
Vibration_mm_s_roll_mean,0.019384753905263286
RPM_roll_std,0.0014916337085947478
Bearing_Noise_dB_roll_std,0.0013998860231439045
Temperature_C_roll_std,0.0012064673523499501
Current_A_roll_std,0.001113174781300013
Vibration_mm_s_roll_std,0.000972811687159597
Current_A,0.0004082262848534141
RPM,0.00040393610901108307
