Unit_ID,Cycle,Life_Cycles,Vibration_mm_s,Temperature_C,Current_A,RPM,Bearing_Noise_dB,Load_Factor,RUL,RUL_clipped,Risk_Level
1,1,175,1.5,45.32,11.73,1474.67,54.9,0.978,174,130,Low
1,2,175,1.4,45.02,11.91,1477.71,55.5,0.978,173,130,Low
1,3,175,1.69,44.21,12.3,1486.45,55.34,0.978,172,130,Low
1,4,175,1.48,45.71,11.79,1483.86,54.73,0.978,171,130,Low
1,5,175,1.56,44.57,11.98,1484.22,54.07,0.978,170,130,Low
1,6,175,1.35,46.92,11.91,1479.13,55.26,0.978,169,130,Low
1,7,175,1.45,43.64,11.53,1482.77,55.25,0.978,168,130,Low
1,8,175,1.48,43.47,11.61,1472.17,54.4,0.978,167,130,Low
1,9,175,1.79,45.08,11.69,1484.8,56.03,0.978,166,130,Low
1,10,175,1.39,46.18,11.93,1486.67,55.54,0.978,165,130,Low
1,11,175,1.58,45.02,12.11,1474.03,55.66,0.978,164,130,Low
1,12,175,1.53,44.9,11.72,1487.45,55.77,0.978,163,130,Low
1,13,175,1.52,46.03,11.9,1487.59,55.04,0.978,162,130,Low
1,14,175,1.75,46.12,11.89,1486.4,55.07,0.978,161,130,Low
1,15,175,1.4,44.98,12.01,1488.35,55.21,0.978,160,130,Low
1,16,175,1.49,44.36,11.82,1471.41,54.12,0.978,159,130,Low
1,17,175,1.44,44.66,12.29,1477.67,55.41,0.978,158,130,Low
1,18,175,1.67,42.4,11.89,1483.72,55.04,0.978,157,130,Low
1,19,175,1.53,46.41,11.92,1472.46,54.84,0.978,156,130,Low
1,20,175,1.68,44.12,12.11,1481.47,55.85,0.978,155,130,Low
1,21,175,1.7,44.95,11.46,1486.84,54.17,0.978,154,130,Low
1,22,175,1.53,46.13,12.71,1469.0,55.04,0.978,153,130,Low
1,23,175,1.58,45.2,12.4,1487.66,54.4,0.978,152,130,Low
1,24,175,1.58,45.67,12.0,1486.94,54.53,0.978,151,130,Low
1,25,175,1.28,44.63,12.37,1479.79,55.7,0.978,150,130,Low
1,26,175,1.6,43.61,12.1,1479.9,54.61,0.978,149,130,Low
1,27,175,1.56,45.6,12.0,1475.54,54.91,0.978,148,130,Low
1,28,175,1.53,44.76,12.36,1477.06,55.8,0.978,147,130,Low
1,29,175,1.32,46.87,11.81,1482.78,55.89,0.978,146,130,Low
1,30,175,1.47,45.81,11.84,1470.1,55.29,0.978,145,130,Low
1,31,175,1.6,47.14,12.24,1489.08,54.91,0.978,144,130,Low
1,32,175,1.76,45.32,11.71,1476.04,55.43,0.978,143,130,Low
1,33,175,1.54,45.98,12.12,1470.38,55.84,0.978,142,130,Low
1,34,175,1.97,45.21,12.5,1476.33,55.86,0.978,141,130,Low
1,35,175,1.69,44.35,12.0,1475.14,54.74,0.978,140,130,Low
1,36,175,1.73,45.96,11.98,1474.53,56.48,0.978,139,130,Low
1,37,175,1.82,44.73,12.11,1489.86,55.57,0.978,138,130,Low
1,38,175,1.82,45.49,11.64,1476.65,55.36,0.978,137,130,Low
1,39,175,1.68,45.72,12.5,1470.98,54.57,0.978,136,130,Low
